"isPartOf","stable_name"
"Academe","Academe"
"AAUP Bulletin","Academe"
"Bulletin of the American Association of University Professors (1915-1955)","Academe"
"Academy of Management Learning & Education","Academy of Management Learning & Education"
"American Annals of the Deaf","American Annals of the Deaf"
"American Annals of the Deaf and Dumb","American Annals of the Deaf"
"The American Biology Teacher","The American Biology Teacher"
"American Educational Research Journal","American Educational Research Journal"
"American Journal of Education","American Journal of Education"
"The School Review","American Journal of Education"
"School and College","School and College"
"American Music Teacher","American Music Teacher"
"Bulletin of the Music Teachers National Association","American Music Teacher"
"Advisory Council Bulletin (Music Teachers' National Association)","American Music Teacher"
"American Secondary Education","American Secondary Education"
"Annals of Dyslexia","Annals of Dyslexia"
"Bulletin of the Orton Society","Annals of Dyslexia"
"Anthropology & Education Quarterly","Anthropology & Education Quarterly"
"Council on Anthropology and Education Quarterly","Anthropology & Education Quarterly"
"Council on Anthropology and Education Newsletter","Anthropology & Education Quarterly"
"Al-'Arabiyya","Al-'Arabiyya"
"An-Nashra","Al-'Arabiyya"
"Art Education","Art Education"
"ASEE Prism","ASEE Prism"
"Engineering Education News","ASEE Prism"
"Australian Journal of Environmental Education","Australian Journal of Environmental Education"
"Behavioral Disorders","Behavioral Disorders"
"Beyond Behavior","Beyond Behavior"
"Bilingual Review / La Revista Bilingüe","Bilingual Review / La Revista Bilingüe"
"British Educational Research Journal","British Educational Research Journal"
"British Journal of Educational Studies","British Journal of Educational Studies"
"British Journal of Sociology of Education","British Journal of Sociology of Education"
"Brookings Papers on Education Policy","Brookings Papers on Education Policy"
"Bulletin of the American Association of University Professors (2010-)","Bulletin of the American Association of University Professors (2010-)"
"Bulletin of the Council for Research in Music Education","Bulletin of the Council for Research in Music Education"
"Canadian Journal of Education / Revue canadienne de l'éducation","Canadian Journal of Education / Revue canadienne de l'éducation"
"Change","Change"
"Change in Higher Education","Change"
"Child Development","Child Development"
"Children, Youth and Environments","Children, Youth and Environments"
"Children's Environments","Children's Environments"
"Children's Environments Quarterly","Children's Environments"
"The Clearing House","The Clearing House"
"Junior-Senior High School Clearing House","The Clearing House"
"The Junior High Clearing House (1928-1929)","The Clearing House"
"The Junior High School Clearing House","The Junior High School Clearing House"
"The Junior High Clearing House (1920-1921)","The Junior High Clearing House (1920-1921)"
"Cognition and Instruction","Cognition and Instruction"
"College Composition and Communication","College Composition and Communication"
"College English","College English"
"College Music Symposium","College Music Symposium"
"College Teaching","College Teaching"
"Improving College and University Teaching","College Teaching"
"Comparative Education","Comparative Education"
"Comparative Education Review","Comparative Education Review"
"Contributions to Music Education","Contributions to Music Education"
"Counterpoints","Counterpoints"
"Curriculum Inquiry","Curriculum Inquiry"
"Curriculum Theory Network","Curriculum Inquiry"
"Education and Culture","Education and Culture"
"Current Issues in Education","Education and Culture"
"Education and Training in Autism and Developmental Disabilities","Education and Training in Autism and Developmental Disabilities"
"Education and Training in Developmental Disabilities","Education and Training in Autism and Developmental Disabilities"
"Education and Training in Mental Retardation and Developmental Disabilities","Education and Training in Autism and Developmental Disabilities"
"Education and Training in Mental Retardation","Education and Training in Autism and Developmental Disabilities"
"Education and Training of the Mentally Retarded","Education and Training in Autism and Developmental Disabilities"
"Education and Treatment of Children","Education and Treatment of Children"
"School Applications of Learning Theory","Education and Treatment of Children"
"Education Finance and Policy","Education Finance and Policy"
"Educational Evaluation and Policy Analysis","Educational Evaluation and Policy Analysis"
"Educational Horizons","Educational Horizons"
"Pi Lambda Theta Journal","Educational Horizons"
"Educational Psychology Review","Educational Psychology Review"
"Educational Researcher","Educational Researcher"
"Educational Studies in Mathematics","Educational Studies in Mathematics"
"Educational Technology","Educational Technology"
"Teaching Aids News","Educational Technology"
"Educational Technology & Society","Educational Technology & Society"
"Educational Technology Research and Development","Educational Technology Research and Development"
"Educational Communication and Technology","Educational Technology Research and Development"
"Journal of Instructional Development","Journal of Instructional Development"
"AV Communication Review","Journal of Instructional Development"
"Audio Visual Communication Review","Journal of Instructional Development"
"The Elementary School Journal","The Elementary School Journal"
"The Elementary School Teacher","The Elementary School Journal"
"The Elementary School Teacher and Course of Study","The Elementary School Journal"
"The Course of Study","The Elementary School Journal"
"English Education","English Education"
"Selected Addresses Delivered at the Conference on English Education","English Education"
"The English Journal","The English Journal"
"European Journal of Education","European Journal of Education"
"Paedagogica Europaea","European Journal of Education"
"European Journal of Psychology of Education","European Journal of Psychology of Education"
"Family Relations","Family Relations"
"The Family Coordinator","Family Relations"
"The Family Life Coordinator","Family Relations"
"The Coordinator","Family Relations"
"Feminist Teacher","Feminist Teacher"
"For the Learning of Mathematics","For the Learning of Mathematics"
"The French Review","The French Review"
"The French Review. Special Issue","The French Review. Special Issue"
"Geography","Geography"
"The Geographical Teacher","Geography"
"The German Quarterly","The German Quarterly"
"Hagut: Studies in Jewish Educational Thought / הגות: מחקרים בהגות החינוך היהודי","Hagut: Studies in Jewish Educational Thought / הגות: מחקרים בהגות החינוך היהודי"
"Health Education & Behavior","Health Education & Behavior"
"Health Education Quarterly","Health Education & Behavior"
"Health Education Monographs","Health Education Monographs"
"Health Education Research","Health Education Research"
"The High School Journal","The High School Journal"
"The North Carolina High School Bulletin","The High School Journal"
"Higher Education","Higher Education"
"Hispania","Hispania"
"Histoire de l'éducation","Histoire de l'éducation"
"History of Education Quarterly","History of Education Quarterly"
"History of Education Journal","History of Education Journal"
"The History Teacher","The History Teacher"
"IJOT: The Israeli Journal of Occupational Therapy / כתב עת ישראלי לריפוי בעיסוק","IJOT: The Israeli Journal of Occupational Therapy / כתב עת ישראלי לריפוי בעיסוק"
"Instructional Science","Instructional Science"
"International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue Internationale de l'Education","International Review of Education / Internationale Zeitschrift für Erziehungswissenschaft / Revue Internationale de l'Education"
"The Irish Journal of Education / Iris Eireannach an Oideachais","The Irish Journal of Education / Iris Eireannach an Oideachais"
"ISEI: Issues in Special Education & Inclusion / סחי״ש: סוגיות בחינוך מיוחד ובשילוב","ISEI: Issues in Special Education & Inclusion / סחי״ש: סוגיות בחינוך מיוחד ובשילוב"
"ISER: Issues in Special Education & Rehabilitation / סחי״ש: סוגיות בחינוך מיוחד ובשיקום","ISEI: Issues in Special Education & Inclusion / סחי״ש: סוגיות בחינוך מיוחד ובשילוב"
"Special Education and Rehabilitation / חינוך מיוחד ושיקום","ISEI: Issues in Special Education & Inclusion / סחי״ש: סוגיות בחינוך מיוחד ובשילוב"
"Italica","Italica"
"Bulletin of the American Association of Teachers of Italian","Italica"
"Japanese Language and Literature","Japanese Language and Literature"
"The Journal of the Association of Teachers of Japanese","Japanese Language and Literature"
"The Journal-Newsletter of the Association of Teachers of Japanese","Japanese Language and Literature"
"Jazz Education in Research and Practice","Jazz Education in Research and Practice"
"Journal Committed to Social Change on Race and Ethnicity (JCSCORE)","Journal Committed to Social Change on Race and Ethnicity (JCSCORE)"
"Journal for Research in Mathematics Education","Journal for Research in Mathematics Education"
"Journal for Research in Mathematics Education. Monograph","Journal for Research in Mathematics Education. Monograph"
"Journal of Adolescent & Adult Literacy","Journal of Adolescent & Adult Literacy"
"Journal of Reading","Journal of Adolescent & Adult Literacy"
"Journal of Developmental Reading","Journal of Adolescent & Adult Literacy"
"The Journal of Aesthetic Education","The Journal of Aesthetic Education"
"Journal of Alcohol and Drug Education","Journal of Alcohol and Drug Education"
"Journal of Alcohol Education","Journal of Alcohol and Drug Education"
"Bulletin of the Association for the Advancement of Instruction about Alcohol and Narcotics","Journal of Alcohol and Drug Education"
"Journal of American Indian Education","Journal of American Indian Education"
"Journal of Architectural Education (1984-)","Journal of Architectural Education (1984-)"
"JAE","Journal of Architectural Education (1984-)"
"Journal of Architectural Education (1947-1974)","Journal of Architectural Education (1984-)"
"Journal of Assessment and Institutional Effectiveness","Journal of Assessment and Institutional Effectiveness"
"Journal of Basic Writing","Journal of Basic Writing"
"Journal of Behavioral Education","Journal of Behavioral Education"
"The Journal of Blacks in Higher Education","The Journal of Blacks in Higher Education"
"The Journal of Classroom Interaction","The Journal of Classroom Interaction"
"Classroom Interaction Newsletter","The Journal of Classroom Interaction"
"Journal of College Science Teaching","Journal of College Science Teaching"
"Journal of Correctional Education (1974-)","Journal of Correctional Education (1974-)"
"Correctional Education","Correctional Education"
"Journal of Correctional Education (1949-1972)","Correctional Education"
"Journal of Deaf Studies and Deaf Education","Journal of Deaf Studies and Deaf Education"
"Journal of Developmental Education","Journal of Developmental Education"
"Journal of Developmental & Remedial Education","Journal of Developmental Education"
"The Journal of Economic Education","The Journal of Economic Education"
"The Journal of Education","The Journal of Education"
"Educational Weekly","Educational Weekly"
"National Journal of Education","National Journal of Education"
"New England Journal of Education","New England Journal of Education"
"The Maine Journal of Education","New England Journal of Education"
"The Massachusetts Teacher (1873-1874)","The Massachusetts Teacher (1873-1874)"
"The Connecticut School Journal","The Connecticut School Journal"
"The College Courant","The College Courant"
"The Teacher (1872)","The Teacher (1872)"
"The Massachusetts Teacher (1858-1871)","The Teacher (1872)"
"The Maine Normal","The Maine Normal"
"The Yale Courant","The Yale Courant"
"The R. I. Schoolmaster","The R. I. Schoolmaster"
"The Connecticut Common School Journal (1857-1866)","The Connecticut Common School Journal (1857-1866)"
"The Massachusetts Teacher and Journal of Home and School Education","The Connecticut Common School Journal (1857-1866)"
"The Connecticut Common School Journal and Annals of Education","The Connecticut Common School Journal (1857-1866)"
"The Massachusetts Teacher (1848-1855)","The Massachusetts Teacher (1848-1855)"
"Connecticut Common School Journal (1838-1853)","Connecticut Common School Journal (1838-1853)"
"Journal of Education Finance","Journal of Education Finance"
"Journal of Education in Muslim Societies","Journal of Education in Muslim Societies"
"Journal of Educational and Behavioral Statistics","Journal of Educational and Behavioral Statistics"
"Journal of Educational Statistics","Journal of Educational and Behavioral Statistics"
"Journal of Educational Measurement","Journal of Educational Measurement"
"The Yearbook of the National Council on Measurement in Education","Journal of Educational Measurement"
"The Yearbook of the National Council on Measurements Used in Education","Journal of Educational Measurement"
